temperature_2m,precipitation,relativehumidity_2m,windspeed_10m,is_day,shortwave_radiation,year,month,day
15.5,0.0,47,9.5,0,0.0,2020,2,1
15.0,0.0,48,7.9,0,0.0,2020,2,1
15.2,0.0,46,7.2,0,0.0,2020,2,1
15.4,0.0,42,6.7,0,0.0,2020,2,1
15.2,0.0,40,8.1,0,0.0,2020,2,1
15.3,0.0,40,9.3,0,0.0,2020,2,1
15.9,0.0,43,8.6,0,0.0,2020,2,1
16.3,0.0,43,8.3,0,0.0,2020,2,1
17.4,0.0,42,7.6,1,38.0,2020,2,1
22.0,0.0,34,3.6,1,240.0,2020,2,1
23.1,0.0,35,3.6,1,468.0,2020,2,1
24.5,0.0,34,4.3,1,647.0,2020,2,1
25.8,0.0,32,4.7,1,752.0,2020,2,1
26.6,0.1,32,2.9,1,820.0,2020,2,1
26.8,0.1,32,2.9,1,637.0,2020,2,1
27.3,0.1,30,1.5,1,617.0,2020,2,1
27.0,0.0,30,0.7,1,458.0,2020,2,1
26.7,0.0,31,2.7,1,331.0,2020,2,1
26.9,0.0,31,4.8,1,145.0,2020,2,1
24.7,0.0,40,5.6,0,9.0,2020,2,1
23.3,0.0,38,7.2,0,0.0,2020,2,1
22.0,0.0,51,5.5,0,0.0,2020,2,1
22.0,0.0,45,6.9,0,0.0,2020,2,1
20.8,0.0,47,5.4,0,0.0,2020,2,1
19.8,0.0,49,8.7,0,0.0,2020,2,2
18.4,0.0,53,6.8,0,0.0,2020,2,2
17.0,0.0,64,5.8,0,0.0,2020,2,2
16.5,0.0,64,5.4,0,0.0,2020,2,2
16.2,0.0,63,4.9,0,0.0,2020,2,2
16.0,0.0,62,4.6,0,0.0,2020,2,2
14.9,0.0,69,5.7,0,0.0,2020,2,2
14.6,0.0,72,5.9,0,0.0,2020,2,2
16.4,0.0,61,4.2,1,38.0,2020,2,2
17.8,0.0,54,5.5,1,208.0,2020,2,2
18.6,0.0,51,4.5,1,322.0,2020,2,2
20.2,0.0,47,2.3,1,493.0,2020,2,2
21.1,0.0,45,1.5,1,502.0,2020,2,2
22.5,0.0,42,1.6,1,596.0,2020,2,2
23.3,0.0,39,0.4,1,486.0,2020,2,2
24.1,0.0,37,1.3,1,446.0,2020,2,2
24.6,0.0,35,2.3,1,355.0,2020,2,2
24.8,0.0,34,1.1,1,217.0,2020,2,2
24.1,0.0,36,4.6,1,130.0,2020,2,2
22.9,0.0,47,3.1,0,8.0,2020,2,2
21.8,0.0,47,3.6,0,0.0,2020,2,2
21.1,0.0,40,4.7,0,0.0,2020,2,2
19.1,0.0,41,5.8,0,0.0,2020,2,2
17.1,0.0,42,4.0,0,0.0,2020,2,2
16.7,0.0,44,4.0,0,0.0,2020,2,3
17.6,0.0,41,5.8,0,0.0,2020,2,3
18.2,0.0,40,5.9,0,0.0,2020,2,3
18.4,0.0,41,5.2,0,0.0,2020,2,3
17.8,0.0,43,5.1,0,0.0,2020,2,3
16.6,0.0,50,4.7,0,0.0,2020,2,3
17.7,0.0,51,4.7,0,0.0,2020,2,3
16.9,0.0,56,5.4,0,0.0,2020,2,3
18.0,0.0,55,4.6,1,38.0,2020,2,3
21.6,0.0,45,0.7,1,197.0,2020,2,3
23.1,0.0,40,2.4,1,412.0,2020,2,3
24.9,0.0,36,2.1,1,598.0,2020,2,3
26.5,0.0,33,5.9,1,762.0,2020,2,3
27.2,0.0,32,11.3,1,818.0,2020,2,3
27.5,0.0,29,6.1,1,677.0,2020,2,3
28.4,0.0,26,18.1,1,598.0,2020,2,3
28.0,0.0,26,17.0,1,465.0,2020,2,3
27.3,0.0,29,13.2,1,306.0,2020,2,3
25.9,0.0,32,14.1,1,111.0,2020,2,3
24.5,0.0,37,9.0,0,8.0,2020,2,3
23.0,0.0,43,5.4,0,0.0,2020,2,3
21.0,0.0,56,5.6,0,0.0,2020,2,3
20.4,0.0,55,3.1,0,0.0,2020,2,3
19.6,0.0,56,0.8,0,0.0,2020,2,3
18.6,0.0,58,1.4,0,0.0,2020,2,4
18.0,0.0,56,3.1,0,0.0,2020,2,4
17.8,0.0,58,3.9,0,0.0,2020,2,4
17.4,0.0,60,4.5,0,0.0,2020,2,4
17.2,0.0,58,4.3,0,0.0,2020,2,4
16.6,0.0,60,4.7,0,0.0,2020,2,4
17.6,0.0,58,5.7,0,0.0,2020,2,4
16.6,0.0,64,5.2,0,0.0,2020,2,4
18.8,0.0,53,1.8,1,42.0,2020,2,4
21.3,0.0,46,2.3,1,225.0,2020,2,4
22.9,0.0,42,3.2,1,402.0,2020,2,4
24.4,0.0,40,2.1,1,591.0,2020,2,4
25.5,0.1,39,4.3,1,732.0,2020,2,4
26.3,0.0,38,5.7,1,753.0,2020,2,4
26.9,0.0,36,6.9,1,718.0,2020,2,4
26.8,0.0,36,6.8,1,633.0,2020,2,4
27.2,0.0,34,13.7,1,463.0,2020,2,4
25.3,0.0,41,14.8,1,274.0,2020,2,4
24.6,0.0,44,11.0,1,141.0,2020,2,4
23.0,0.0,50,5.2,0,12.0,2020,2,4
21.4,0.0,55,4.4,0,0.0,2020,2,4
19.6,0.0,58,5.0,0,0.0,2020,2,4
17.8,0.0,59,6.6,0,0.0,2020,2,4
